county,date,reported_date,cholera_cases,malaria_cases,report_delay_days,rain_7day_lag,rain_14day_lag,rain_21day_lag,seasonal_factor,rainfall_mm,population,cholera_rate_per_100k,malaria_rate_per_100k,cholera_lag_3,malaria_lag_3,cholera_lag_5,malaria_lag_5,cholera_lag_7,malaria_lag_7,rain_7day_avg,cholera_7day_avg,cholera_baseline,cholera_baseline_std,outbreak_next_7days,week_of_year,month,year,cholera_missing,malaria_missing,is_rainy_season
Homa Bay,2022-01-01,2022-01-06,,311.0,5,0.0,0.0,0.0,0.8,9.1,1150000,,27.043478260869563,,,,,,,9.1,,,,0,52,1,2022,1,0,0
Homa Bay,2022-01-02,2022-01-06,1.0,301.0,4,0.0,0.0,0.0,0.8,0.1,1150000,0.08695652173913043,26.173913043478258,,,,,,,4.6,,,,0,52,1,2022,0,0,0
Homa Bay,2022-01-03,2022-01-09,0.0,312.0,6,0.0,0.0,0.0,0.8,1.0,1150000,0.0,27.130434782608692,,,,,,,3.4,0.5,,,0,1,1,2022,0,0,0
Homa Bay,2022-01-04,2022-01-09,1.0,,5,0.0,0.0,0.0,0.8,3.4,1150000,0.08695652173913043,,,311.0,,,,,3.4,0.6666666666666666,,,0,1,1,2022,0,1,0
Homa Bay,2022-01-05,2022-01-10,,319.0,5,0.0,0.0,0.0,0.8,0.0,1150000,,27.739130434782606,1.0,301.0,,,,,2.7199999999999998,0.6666666666666666,,,0,1,1,2022,1,0,0
Homa Bay,2022-01-06,2022-01-13,0.0,331.0,7,0.0,0.0,0.0,0.8,0.0,1150000,0.0,28.782608695652172,0.0,312.0,,311.0,,,2.2666666666666666,0.5,,,0,1,1,2022,0,0,0
Homa Bay,2022-01-07,2022-01-12,0.0,292.0,5,0.0,0.0,0.0,0.8,0.1,1150000,0.0,25.391304347826086,1.0,,1.0,301.0,,,1.957142857142857,0.4,0.4,0.5477225575051661,0,1,1,2022,0,0,0
Homa Bay,2022-01-08,2022-01-13,1.0,,5,9.1,0.0,0.0,0.8,0.4,1150000,0.08695652173913043,,,319.0,0.0,312.0,,311.0,0.7142857142857143,0.5,0.5,0.5477225575051661,0,1,1,2022,0,1,0
Homa Bay,2022-01-09,2022-01-15,,319.0,6,0.1,0.0,0.0,0.8,0.0,1150000,,27.739130434782606,0.0,331.0,1.0,,1.0,301.0,0.7000000000000001,0.4,0.5,0.5477225575051661,0,1,1,2022,1,0,0
Homa Bay,2022-01-10,2022-01-15,0.0,,5,1.0,0.0,0.0,0.8,0.0,1150000,0.0,,0.0,292.0,,319.0,0.0,312.0,0.5571428571428572,0.4,0.42857142857142855,0.5345224838248488,0,2,1,2022,0,1,0
Homa Bay,2022-01-11,2022-01-18,,300.0,7,3.4,0.0,0.0,0.8,0.0,1150000,,26.08695652173913,1.0,,0.0,331.0,1.0,,0.07142857142857142,0.25,0.42857142857142855,0.5345224838248488,0,2,1,2022,1,0,0
