date,rainfall_mm,county
2022-01-01,3.6,Kisumu
2022-01-02,0.0,Kisumu
2022-01-03,0.7,Kisumu
2022-01-04,0.3,Kisumu
2022-01-05,0.0,Kisumu
2022-01-06,0.0,Kisumu
2022-01-07,0.0,Kisumu
2022-01-08,0.0,Kisumu
2022-01-09,0.0,Kisumu
2022-01-10,0.0,Kisumu
2022-01-11,0.0,Kisumu
2022-01-12,0.0,Kisumu
2022-01-13,0.0,Kisumu
2022-01-14,0.0,Kisumu
2022-01-15,1.3,Kisumu
2022-01-16,3.9,Kisumu
2022-01-17,64.8,Kisumu
2022-01-18,11.0,Kisumu
2022-01-19,4.7,Kisumu
2022-01-20,0.0,Kisumu
2022-01-21,0.1,Kisumu
2022-01-22,0.0,Kisumu
2022-01-23,1.4,Kisumu
2022-01-24,0.0,Kisumu
2022-01-25,0.0,Kisumu
2022-01-26,0.0,Kisumu
2022-01-27,0.0,Kisumu
2022-01-28,0.0,Kisumu
2022-01-29,0.1,Kisumu
2022-01-30,5.6,Kisumu
2022-01-31,1.3,Kisumu
2022-02-01,5.8,Kisumu
2022-02-02,0.7,Kisumu
2022-02-03,0.4,Kisumu
2022-02-04,0.3,Kisumu
2022-02-05,4.5,Kisumu
2022-02-06,1.0,Kisumu
2022-02-07,5.0,Kisumu
2022-02-08,0.0,Kisumu
2022-02-09,2.5,Kisumu
2022-02-10,0.0,Kisumu
2022-02-11,0.2,Kisumu
2022-02-12,6.4,Kisumu
2022-02-13,0.0,Kisumu
2022-02-14,0.1,Kisumu
2022-02-15,0.0,Kisumu
2022-02-16,0.0,Kisumu
2022-02-17,0.8,Kisumu
2022-02-18,3.5,Kisumu
2022-02-19,2.2,Kisumu
2022-02-20,8.2,Kisumu
2022-02-21,4.6,Kisumu
2022-02-22,1.9,Kisumu
2022-02-23,3.1,Kisumu
2022-02-24,14.7,Kisumu
2022-02-25,9.3,Kisumu
2022-02-26,0.1,Kisumu
2022-02-27,0.0,Kisumu
2022-02-28,0.0,Kisumu
2022-03-01,4.1,Kisumu
2022-03-02,0.0,Kisumu
2022-03-03,1.4,Kisumu
2022-03-04,0.0,Kisumu
2022-03-05,0.0,Kisumu
2022-03-06,0.0,Kisumu
2022-03-07,0.0,Kisumu
2022-03-08,0.0,Kisumu
2022-03-09,0.6,Kisumu
2022-03-10,0.0,Kisumu
2022-03-11,0.0,Kisumu
2022-03-12,0.0,Kisumu
2022-03-13,0.2,Kisumu
2022-03-14,0.0,Kisumu
2022-03-15,0.0,Kisumu
2022-03-16,1.0,Kisumu
2022-03-17,6.9,Kisumu
2022-03-18,0.0,Kisumu
2022-03-19,0.0,Kisumu
2022-03-20,0.0,Kisumu
2022-03-21,0.4,Kisumu
2022-03-22,3.7,Kisumu
2022-03-23,0.3,Kisumu
2022-03-24,3.9,Kisumu
2022-03-25,0.0,Kisumu
2022-03-26,0.8,Kisumu
2022-03-27,2.3,Kisumu
2022-03-28,10.0,Kisumu
2022-03-29,9.1,Kisumu
2022-03-30,0.1,Kisumu
2022-03-31,0.0,Kisumu
2022-04-01,2.5,Kisumu
2022-04-02,0.0,Kisumu
2022-04-03,0.0,Kisumu
2022-04-04,0.0,Kisumu
2022-04-05,0.5,Kisumu
2022-04-06,0.0,Kisumu
2022-04-07,0.4,Kisumu
2022-04-08,0.0,Kisumu
2022-04-09,0.0,Kisumu
2022-04-10,3.8,Kisumu
2022-04-11,0.0,Kisumu
2022-04-12,0.7,Kisumu
2022-04-13,1.9,Kisumu
2022-04-14,4.7,Kisumu
2022-04-15,2.6,Kisumu
2022-04-16,2.4,Kisumu
2022-04-17,0.8,Kisumu
2022-04-18,0.0,Kisumu
2022-04-19,3.6,Kisumu
2022-04-20,7.7,Kisumu
2022-04-21,2.9,Kisumu
2022-04-22,5.1,Kisumu
2022-04-23,9.5,Kisumu
2022-04-24,12.9,Kisumu
2022-04-25,8.0,Kisumu
2022-04-26,26.8,Kisumu
2022-04-27,10.5,Kisumu
2022-04-28,9.7,Kisumu
2022-04-29,3.4,Kisumu
2022-04-30,1.7,Kisumu
2022-05-01,10.7,Kisumu
2022-05-02,7.8,Kisumu
2022-05-03,2.3,Kisumu
2022-05-04,1.5,Kisumu
2022-05-05,0.4,Kisumu
2022-05-06,9.0,Kisumu
2022-05-07,6.4,Kisumu
2022-05-08,1.0,Kisumu
2022-05-09,0.7,Kisumu
2022-05-10,0.0,Kisumu
2022-05-11,4.2,Kisumu
2022-05-12,0.1,Kisumu
2022-05-13,0.3,Kisumu
2022-05-14,0.8,Kisumu
2022-05-15,0.1,Kisumu
2022-05-16,1.0,Kisumu
2022-05-17,2.8,Kisumu
2022-05-18,2.4,Kisumu
2022-05-19,0.0,Kisumu
2022-05-20,15.2,Kisumu
2022-05-21,0.0,Kisumu
2022-05-22,4.0,Kisumu
2022-05-23,7.6,Kisumu
2022-05-24,0.0,Kisumu
2022-05-25,4.3,Kisumu
2022-05-26,0.4,Kisumu
2022-05-27,14.7,Kisumu
2022-05-28,6.1,Kisumu
2022-05-29,12.5,Kisumu
2022-05-30,6.1,Kisumu
2022-05-31,0.5,Kisumu
2022-06-01,0.7,Kisumu
2022-06-02,0.0,Kisumu
2022-06-03,0.0,Kisumu
2022-06-04,0.0,Kisumu
2022-06-05,0.1,Kisumu
2022-06-06,0.0,Kisumu
2022-06-07,0.5,Kisumu
2022-06-08,1.9,Kisumu
2022-06-09,0.3,Kisumu
2022-06-10,0.2,Kisumu
2022-06-11,0.0,Kisumu
2022-06-12,0.3,Kisumu
2022-06-13,1.3,Kisumu
2022-06-14,0.2,Kisumu
2022-06-15,1.0,Kisumu
2022-06-16,0.1,Kisumu
2022-06-17,0.0,Kisumu
2022-06-18,1.6,Kisumu
2022-06-19,12.8,Kisumu
2022-06-20,0.1,Kisumu
2022-06-21,0.0,Kisumu
2022-06-22,0.5,Kisumu
2022-06-23,0.7,Kisumu
2022-06-24,5.2,Kisumu
2022-06-25,9.0,Kisumu
2022-06-26,0.8,Kisumu
2022-06-27,0.0,Kisumu
2022-06-28,0.2,Kisumu
2022-06-29,0.6,Kisumu
2022-06-30,0.2,Kisumu
2022-07-01,0.9,Kisumu
2022-07-02,7.4,Kisumu
2022-07-03,0.1,Kisumu
2022-07-04,0.0,Kisumu
2022-07-05,0.0,Kisumu
2022-07-06,0.0,Kisumu
2022-07-07,0.0,Kisumu
2022-07-08,0.0,Kisumu
2022-07-09,0.6,Kisumu
2022-07-10,0.0,Kisumu
2022-07-11,0.6,Kisumu
2022-07-12,1.2,Kisumu
2022-07-13,0.0,Kisumu
2022-07-14,0.0,Kisumu
2022-07-15,8.7,Kisumu
2022-07-16,0.1,Kisumu
2022-07-17,0.6,Kisumu
2022-07-18,5.5,Kisumu
2022-07-19,3.5,Kisumu
2022-07-20,0.3,Kisumu
2022-07-21,0.1,Kisumu
2022-07-22,0.0,Kisumu
2022-07-23,0.0,Kisumu
2022-07-24,0.0,Kisumu
2022-07-25,0.0,Kisumu
2022-07-26,0.0,Kisumu
2022-07-27,0.0,Kisumu
2022-07-28,12.0,Kisumu
2022-07-29,14.4,Kisumu
2022-07-30,13.0,Kisumu
2022-07-31,7.8,Kisumu
2022-08-01,16.1,Kisumu
2022-08-02,10.9,Kisumu
2022-08-03,0.0,Kisumu
2022-08-04,0.0,Kisumu
2022-08-05,0.1,Kisumu
2022-08-06,0.1,Kisumu
2022-08-07,0.0,Kisumu
2022-08-08,0.0,Kisumu
2022-08-09,0.0,Kisumu
2022-08-10,0.0,Kisumu
2022-08-11,0.0,Kisumu
2022-08-12,0.9,Kisumu
2022-08-13,12.8,Kisumu
2022-08-14,3.5,Kisumu
2022-08-15,15.1,Kisumu
2022-08-16,3.1,Kisumu
2022-08-17,5.4,Kisumu
2022-08-18,9.7,Kisumu
2022-08-19,0.0,Kisumu
2022-08-20,3.6,Kisumu
2022-08-21,0.0,Kisumu
2022-08-22,0.0,Kisumu
2022-08-23,2.9,Kisumu
2022-08-24,0.0,Kisumu
2022-08-25,0.8,Kisumu
2022-08-26,3.0,Kisumu
2022-08-27,0.2,Kisumu
2022-08-28,2.2,Kisumu
2022-08-29,1.7,Kisumu
2022-08-30,3.6,Kisumu
2022-08-31,4.1,Kisumu
2022-09-01,0.5,Kisumu
2022-09-02,8.9,Kisumu
2022-09-03,2.7,Kisumu
2022-09-04,1.8,Kisumu
2022-09-05,5.4,Kisumu
2022-09-06,0.9,Kisumu
2022-09-07,13.0,Kisumu
2022-09-08,0.0,Kisumu
2022-09-09,4.8,Kisumu
2022-09-10,8.0,Kisumu
2022-09-11,0.0,Kisumu
2022-09-12,0.3,Kisumu
2022-09-13,8.8,Kisumu
2022-09-14,2.6,Kisumu
2022-09-15,1.2,Kisumu
2022-09-16,0.2,Kisumu
2022-09-17,0.0,Kisumu
2022-09-18,0.1,Kisumu
2022-09-19,0.0,Kisumu
2022-09-20,0.0,Kisumu
2022-09-21,0.0,Kisumu
2022-09-22,3.2,Kisumu
2022-09-23,3.6,Kisumu
2022-09-24,0.1,Kisumu
2022-09-25,1.8,Kisumu
2022-09-26,0.0,Kisumu
2022-09-27,0.0,Kisumu
2022-09-28,0.0,Kisumu
2022-09-29,0.2,Kisumu
2022-09-30,0.6,Kisumu
2022-10-01,4.9,Kisumu
2022-10-02,0.4,Kisumu
2022-10-03,0.0,Kisumu
2022-10-04,2.5,Kisumu
2022-10-05,0.1,Kisumu
2022-10-06,0.8,Kisumu
2022-10-07,0.5,Kisumu
2022-10-08,6.9,Kisumu
2022-10-09,0.2,Kisumu
2022-10-10,0.0,Kisumu
2022-10-11,0.2,Kisumu
2022-10-12,0.0,Kisumu
2022-10-13,0.0,Kisumu
2022-10-14,9.2,Kisumu
2022-10-15,4.6,Kisumu
2022-10-16,7.0,Kisumu
2022-10-17,12.1,Kisumu
2022-10-18,3.2,Kisumu
2022-10-19,1.5,Kisumu
2022-10-20,0.0,Kisumu
2022-10-21,0.3,Kisumu
2022-10-22,0.0,Kisumu
2022-10-23,0.0,Kisumu
2022-10-24,0.0,Kisumu
2022-10-25,0.0,Kisumu
2022-10-26,0.0,Kisumu
2022-10-27,0.0,Kisumu
2022-10-28,0.2,Kisumu
2022-10-29,0.3,Kisumu
2022-10-30,2.0,Kisumu
2022-10-31,0.7,Kisumu
2022-11-01,0.2,Kisumu
2022-11-02,2.7,Kisumu
2022-11-03,4.0,Kisumu
2022-11-04,2.1,Kisumu
2022-11-05,1.3,Kisumu
2022-11-06,0.9,Kisumu
2022-11-07,0.8,Kisumu
2022-11-08,0.6,Kisumu
2022-11-09,0.4,Kisumu
2022-11-10,26.6,Kisumu
2022-11-11,0.7,Kisumu
2022-11-12,2.3,Kisumu
2022-11-13,15.4,Kisumu
2022-11-14,3.2,Kisumu
2022-11-15,5.0,Kisumu
2022-11-16,10.9,Kisumu
2022-11-17,1.9,Kisumu
2022-11-18,4.1,Kisumu
2022-11-19,10.4,Kisumu
2022-11-20,11.0,Kisumu
2022-11-21,1.9,Kisumu
2022-11-22,13.0,Kisumu
2022-11-23,14.4,Kisumu
